Date,Close,High,Low,Open,Volume
2018-09-28,225.74,225.84,224.02,224.79,22560440
2018-09-27,224.95,226.44,223.54,223.82,29729270
2018-09-26,220.42,223.75,219.76,221.0,23430370
2018-09-25,222.19,222.82,219.7,219.75,22811140
2018-09-24,220.79,221.26,216.63,216.82,27581270
2018-09-21,217.66,221.36,217.29,220.78,95584080
2018-09-20,220.03,222.28,219.15,220.24,26388050
2018-09-19,218.37,219.62,215.3,218.5,26869880
2018-09-18,218.24,221.85,217.12,217.79,31495630
2018-09-17,217.88,222.95,217.27,222.15,36810120
2018-09-14,223.84,226.84,222.522,225.75,31801970
2018-09-13,226.41,228.35,222.57,223.52,41411350
2018-09-12,221.07,225.0,219.84,224.94,49118510
2018-09-11,223.85,224.299,216.56,218.01,35644510
2018-09-10,218.33,221.85,216.47,220.95,39194720
2018-09-07,221.3,225.37,220.71,221.85,37418910
2018-09-06,223.1,227.35,221.3,226.23,34121240
2018-09-05,226.87,229.67,225.1,228.99,33290830
2018-09-04,228.36,229.18,226.63,228.41,27363960
2018-08-31,227.63,228.87,226.0,226.51,43177540
2018-08-30,225.03,228.26,222.4,223.25,48696960
2018-08-29,222.98,223.49,219.41,220.15,27074260
2018-08-28,219.7,220.54,218.92,219.01,22751390
2018-08-27,217.94,218.74,216.33,217.15,20400770
2018-08-24,216.16,216.9,215.11,216.6,18457720
2018-08-23,215.49,217.05,214.6,214.65,18505780
2018-08-22,215.05,216.36,213.84,214.1,18965930
2018-08-21,215.04,217.19,214.025,216.8,25682700
2018-08-20,215.46,219.18,215.11,218.1,30149410
2018-08-17,217.58,217.95,213.16,213.44,35034410
2018-08-16,213.32,213.8121,211.47,211.75,27595310
2018-08-15,210.24,210.74,208.33,209.22,28595230
2018-08-14,209.75,210.56,208.26,210.155,20679270
2018-08-13,208.87,210.952,207.7,207.7,25864510
2018-08-10,207.53,209.1,206.67,207.36,24592460
2018-08-09,208.88,209.78,207.2,207.28,23389530
2018-08-08,207.25,207.81,204.52,206.05,22493750
2018-08-07,207.11,209.5,206.76,209.32,25525650
2018-08-06,209.07,209.25,207.07,208.0,25396100
2018-08-03,207.99,208.74,205.4803,207.03,33408050
2018-08-02,207.39,208.38,200.35,200.58,62317430
2018-08-01,201.5,201.76,197.31,199.13,67812280
2018-07-31,190.29,192.14,189.34,190.3,37847260
2018-07-30,189.91,192.2,189.07,191.9,20912890
2018-07-27,190.98,195.19,190.1,194.99,23975350
2018-07-26,194.21,195.96,193.61,194.61,19005150
2018-07-25,194.82,194.85,192.43,193.06,16553500
2018-07-24,193.0,193.6601,192.05,192.45,18680930
2018-07-23,191.61,191.96,189.56,190.68,15955820
2018-07-20,191.44,192.43,190.17,191.78,20670830
2018-07-19,191.88,192.55,189.69,189.69,20182050
2018-07-18,190.4,191.8,189.93,191.78,16365720
2018-07-17,191.45,191.87,189.2,189.75,15515000
2018-07-16,190.91,192.65,190.415,191.52,15009800
2018-07-13,191.33,191.84,190.9,191.08,12506830
2018-07-12,191.03,191.41,189.31,189.53,18000180
2018-07-11,187.88,189.7799,187.61,188.5,18776390
2018-07-10,190.35,191.28,190.1801,190.71,15801370
2018-07-09,190.58,190.68,189.3,189.5,19636390
2018-07-06,187.97,188.434,185.2,185.42,17426160
2018-07-05,185.4,186.41,184.28,185.26,16543880
2018-07-03,183.92,187.95,183.54,187.79,13954810
2018-07-02,187.18,187.3,183.42,183.82,17675210
2018-06-29,185.11,187.19,182.91,186.29,22551660
2018-06-28,185.5,186.21,183.8,184.1,17352380
2018-06-27,184.16,187.28,184.03,185.228,24987260
2018-06-26,184.43,186.53,182.54,182.99,24378480
2018-06-25,182.17,184.92,180.73,183.4,31632320
2018-06-22,184.92,186.15,184.7,186.12,27185130
2018-06-21,185.46,188.35,184.94,187.25,25649240
2018-06-20,186.5,187.2,185.73,186.35,20490090
2018-06-19,185.69,186.33,183.45,185.14,33538550
2018-06-18,188.74,189.22,187.2,187.88,18458410
2018-06-15,188.84,190.16,188.26,190.03,61438290
2018-06-14,190.8,191.57,190.22,191.55,21584720
2018-06-13,190.7,192.88,190.44,192.42,21480120
2018-06-12,192.28,192.611,191.15,191.385,16859020
2018-06-11,191.23,191.97,190.21,191.35,18069930
2018-06-08,191.7,192.0,189.77,191.17,26580710
2018-06-07,193.46,194.2,192.335,194.14,21329170
2018-06-06,193.98,194.08,191.92,193.63,20912820
2018-06-05,193.31,193.94,192.36,193.065,21535570
2018-06-04,191.83,193.42,191.35,191.635,26190620
2018-06-01,190.24,190.26,187.75,187.991,23377690
2018-05-31,186.87,188.23,186.14,187.22,27468700
2018-05-30,187.5,188.0,186.78,187.72,18503410
2018-05-29,187.9,188.75,186.87,187.6,22409110
2018-05-25,188.58,189.65,187.65,188.23,17186760
2018-05-24,188.15,188.84,186.21,188.77,23129400
2018-05-23,188.36,188.5,185.76,186.35,19966590
2018-05-22,187.16,188.88,186.78,188.375,15228270
2018-05-21,187.63,189.27,186.9106,188.0,18383080
2018-05-18,186.31,187.8102,186.13,187.19,18083080
2018-05-17,186.99,188.91,186.36,188.0,17014490
2018-05-16,188.18,188.46,186.0,186.07,19046600
2018-05-15,186.44,187.07,185.1,186.78,23639070
2018-05-14,188.15,189.53,187.86,189.01,20393070
2018-05-11,188.59,190.06,187.45,189.49,26167950
2018-05-10,190.04,190.37,187.65,187.74,27942430
2018-05-09,187.36,187.4,185.22,186.55,23141260
2018-05-08,186.05,186.22,183.665,184.99,28053230
2018-05-07,185.16,187.67,184.75,185.18,42557530
2018-05-04,183.83,184.25,178.17,178.25,56137230
2018-05-03,176.89,177.5,174.4411,175.88,33944110
2018-05-02,176.57,177.75,173.8,175.225,66454720
2018-05-01,169.1,169.2,165.27,166.41,52228910
2018-04-30,165.26,167.26,161.84,162.13,41976500
2018-04-27,162.32,164.33,160.63,164.0,35617230
2018-04-26,164.22,165.73,163.37,164.12,27850370
2018-04-25,163.65,165.42,162.41,162.62,28331540
2018-04-24,162.94,166.33,161.2201,165.67,33674960
2018-04-23,165.24,166.92,164.09,166.835,36396590
2018-04-20,165.72,171.2184,165.43,170.595,65270950
2018-04-19,172.8,175.39,172.66,174.95,34693280
2018-04-18,177.84,178.82,176.88,177.81,20544600
2018-04-17,178.24,178.9365,176.41,176.49,26575010
2018-04-16,175.82,176.19,174.8301,175.0301,21561320
2018-04-13,174.73,175.84,173.85,174.78,25100510
2018-04-12,174.14,175.0,173.04,173.41,22858840
2018-04-11,172.44,173.9232,171.7,172.23,22401040
2018-04-10,173.25,174.0,171.53,173.0,28567110
2018-04-09,170.05,173.09,169.845,169.88,28976200
2018-04-06,168.38,172.48,168.2,170.97,34949690
2018-04-05,172.8,174.2304,172.08,172.58,26750260
2018-04-04,171.61,172.01,164.77,164.88,34581850
2018-04-03,168.39,168.7455,164.88,167.64,30237640
2018-04-02,166.68,168.94,164.47,167.88,37425640
2018-03-29,167.78,171.75,166.9,167.805,38116290
2018-03-28,166.48,170.02,165.19,167.25,41464880
2018-03-27,168.34,175.15,166.92,173.68,39824200
2018-03-26,172.77,173.1,166.44,168.07,36778560
2018-03-23,164.94,169.92,164.94,168.39,40984540
2018-03-22,168.85,172.68,168.6,170.0,41335980
2018-03-21,171.27,175.09,171.26,175.04,36387880
2018-03-20,175.24,176.8,174.94,175.24,19620520
2018-03-19,175.3,177.47,173.66,177.32,32931110
2018-03-16,178.02,179.12,177.62,178.65,38313330
2018-03-15,178.65,180.24,178.0701,178.5,22676520
2018-03-14,178.44,180.52,177.81,180.32,29334630
2018-03-13,179.97,183.5,179.24,182.59,31464170
2018-03-12,181.72,182.39,180.21,180.29,32191070
2018-03-09,179.98,180.0,177.39,177.96,32130360
2018-03-08,176.94,177.12,175.07,175.48,24518850
2018-03-07,175.03,175.85,174.27,174.94,31686450
2018-03-06,176.67,178.25,176.13,177.91,23273160
2018-03-05,176.82,177.74,174.52,175.21,27825140
2018-03-02,176.21,176.3,172.45,172.8,38426060
2018-03-01,175.0,179.775,172.66,178.54,48706170
2018-02-28,178.12,180.615,178.05,179.26,37568080
2018-02-27,178.39,180.48,178.16,179.1,38885510
2018-02-26,178.97,179.39,176.21,176.35,37353670
2018-02-23,175.5,175.65,173.54,173.67,33772050
2018-02-22,172.5,173.95,171.71,171.8,30953760
2018-02-21,171.07,174.12,171.01,172.83,37378070
2018-02-20,171.85,174.26,171.42,172.05,33690660
2018-02-16,172.43,174.82,171.77,172.36,40113790
2018-02-15,172.99,173.09,169.0,169.79,50908540
2018-02-14,167.37,167.54,162.88,163.045,40382890
